ふと目が覚めると、妙に股間がもどかしい…	眼睛睜開時、突然感覺到股間有種奇妙的感覺#朝騎乘位
%CALLNAME:ARG%は%TEXTR("小さな/幼い")%%TEXTR("膣/性器")%を広げたまま腰を下ろすと、見せ付けるようにペニスをヌルっと一気に咥えこんだ…	%CALLNAME:ARG%把%TEXTR("小小的/幼稚的")%的%TEXTR("膣/性器")%張開並坐下、像是要刻意被看見地、將陰莖一口吞下…
膣奥を刺激される感覚に惚けた表情をする%CALLNAME:ARG%は、そのまま子宮口に打ち付けるように腰を跳ねさせている…	膣內被刺激的感覚讓%CALLNAME:ARG%做出恍惚的表情、之後突然動起了腰使陰莖撞擊子宮口…
どぷっ！どぷるるるっ！どぱっ！どぴゅるるるっ！どぴゅっ！	啪！啪！啪！啪啪啪！啪啪！
寝てる間に焦らされていた%CALLNAME:MASTER%は、懸命にしがみつく%CALLNAME:ARG%の幼膣の刺激に少しも耐えることができずに	%CALLNAME:ARG%的小穴用力吸住%CALLNAME:MASTER%的陰莖、使%CALLNAME:MASTER%再也忍不住
情けない声を漏らしながら、%CALLNAME:ARG%の子宮に吸われるままにたっぷりと精を吐き出した…	漏出不成樣子的呻吟、%CALLNAME:ARG%在子宮射出了精液…	
"「あっ！_BHH_  あっ！_BHH_  %CNAMET(ARG, "一人称", "かな")%もぉっ！_BHH_BHH_  イきっ！_BHH_  イっちゃっ！_BHH_」_W"	"「啊！_BHH_  啊！_BHH_  %CNAMET(ARG, "一人称", "かな")%要！_BHH_BHH_  要！_BHH_  要去啦！_BHH_」_W"
"「うう゛ぅううぅっ！！_BHH_BHH_BHH_」_W"	"「嗚゛嗚嗚嗚！！_BHH_BHH_BHH_」_W"
子宮に精液を注がれる感覚で絶頂した%CALLNAME:ARG%は、一段と力強く腰を震わせながら潮を撒き散らした…	%CALLNAME:ARG%因為子宮被精液充滿的感覚而絕頂、腰部痙攣了一陣子後、潮吹了…
結合部からは精液があまり漏れ出ておらず、%CALLNAME:ARG%の下腹部が明らかにポッコリと膨れ上がっている…	從兩人結合的地方沒流出什麼精液而%CALLNAME:ARG%下腹部明顯地膨脹了起來…
"「%CNAMET(ARG, "二人称")%のがいっぱいです…えへへ……_BHH_」_W"	"「%CNAMET(ARG, "二人称")%的精液好多啊…嘿嘿……_BHH_」_W"
「もうすこしだけ…このままでいてくれませんか……？」	「在一下下啦…可以在溫存一下嗎……？」
%CALLNAME:ARG%は\@ MARK:ARG:淫紋 > 1 ? 精を注がれてチカチカと光る淫紋 	摸了摸%CALLNAME:ARG%\@ MARK:ARG:淫紋 > 1 ? 因為被精液充滿而閃閃發亮的淫紋 
朝、目が覚めると妙に下腹部が暖かい…	眼睛睜開時、突然感覺到股間有股熱流
目をやると%CALLNAME:ARG%が上に跨って喘いでいる……	睜眼之後、%CALLNAME:ARG%跨坐在我的上面嬌喘……
%CALLNAME:ARG%は後ろ手を付いて、%CALLNAME:MASTER%のペニスを自分のキモチイイ場所に擦り付けるたびに


